pclass,survived,name,sex,age,nb_sib_sp_aboard,parents_children_aboard,fare,embarked,home.dest
1,True,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,211.3375,S,"St Louis, MO"
1,True,"Allison, Master. Hudson Trevor",male,0.9167,1,2,151.55,S,"Montreal, PQ / Chesterville, ON"
1,False,"Allison, Miss. Helen Loraine",female,2.0,1,2,151.55,S,"Montreal, PQ / Chesterville, ON"
1,False,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,151.55,S,"Montreal, PQ / Chesterville, ON"
1,False,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,151.55,S,"Montreal, PQ / Chesterville, ON"
1,True,"Anderson, Mr. Harry",male,48.0,0,0,26.55,S,"New York, NY"
1,True,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,77.9583,S,"Hudson, NY"
1,False,"Andrews, Mr. Thomas Jr",male,39.0,0,0,0.0,S,"Belfast, NI"
1,True,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,51.4792,S,"Bayside, Queens, NY"
1,False,"Artagaveytia, Mr. Ramon",male,71.0,0,0,49.5042,C,"Montevideo, Uruguay"
1,False,"Astor, Col. John Jacob",male,47.0,1,0,227.525,C,"New York, NY"
1,True,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,227.525,C,"New York, NY"
1,True,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,69.3,C,"Paris, France"
1,True,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,78.85,S,
1,True,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,30.0,S,"Hessle, Yorks"
1,False,"Baumann, Mr. John D",male,,0,0,25.925,S,"New York, NY"
1,False,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,247.5208,C,"Montreal, PQ"
1,True,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,247.5208,C,"Montreal, PQ"
1,True,"Bazzani, Miss. Albina",female,32.0,0,0,76.2917,C,
1,False,"Beattie, Mr. Thomson",male,36.0,0,0,75.2417,C,"Winnipeg, MN"
1,True,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,52.5542,S,"New York, NY"
1,True,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,52.5542,S,"New York, NY"
1,True,"Behr, Mr. Karl Howell",male,26.0,0,0,30.0,C,"New York, NY"
1,True,"Bidois, Miss. Rosalie",female,42.0,0,0,227.525,C,
1,True,"Bird, Miss. Ellen",female,29.0,0,0,221.7792,S,
1,False,"Birnbaum, Mr. Jakob",male,25.0,0,0,26.0,C,"San Francisco, CA"
1,True,"Bishop, Mr. Dickinson H",male,25.0,1,0,91.0792,C,"Dowagiac, MI"
1,True,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,91.0792,C,"Dowagiac, MI"
1,True,"Bissette, Miss. Amelia",female,35.0,0,0,135.6333,S,
1,True,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,26.55,S,"Stockholm, Sweden / Washington, DC"
1,False,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,35.5,S,"Trenton, NJ"
1,True,"Blank, Mr. Henry",male,40.0,0,0,31.0,C,"Glen Ridge, NJ"
1,True,"Bonnell, Miss. Caroline",female,30.0,0,0,164.8667,S,"Youngstown, OH"
1,True,"Bonnell, Miss. Elizabeth",female,58.0,0,0,26.55,S,"Birkdale, England Cleveland, Ohio"
1,False,"Borebank, Mr. John James",male,42.0,0,0,26.55,S,"London / Winnipeg, MB"
1,True,"Bowen, Miss. Grace Scott",female,45.0,0,0,262.375,C,"Cooperstown, NY"
1,True,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,55.0,S,"St Leonards-on-Sea, England Ohio"
1,True,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,26.55,S,"Los Angeles, CA"
1,False,"Brady, Mr. John Bertram",male,41.0,0,0,30.5,S,"Pomeroy, WA"
1,False,"Brandeis, Mr. Emil",male,48.0,0,0,50.4958,C,"Omaha, NE"
1,False,"Brewe, Dr. Arthur Jackson",male,,0,0,39.6,C,"Philadelphia, PA"
1,True,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,27.7208,C,"Denver, CO"
1,True,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,51.4792,S,"Belmont, MA"
